GHG,Total#Houses,Totallightbulbs,Totalgalsgas,DOW
0.0,216149.85151331895,540312.5158786369,829895.850251895,7.0
0.0,215186.27293011747,537904.4621402902,818265.7678131124,7.0
0.0,212282.34894012185,530646.1869623968,798897.2797617232,7.0
0.0,203821.69088301776,509499.32472738466,738152.2598858015,7.0
0.0,205726.06551441783,514259.16677335487,752090.42323049,7.0
0.0,201024.9148587718,502509.0502644022,717047.4112920042,7.0
0.0,196788.5181165825,491920.43514963106,686841.54375118,7.0
0.0,194478.9851901563,486147.9395706719,669905.8265634609,7.0
0.0,184801.56985160947,461959.89925485174,600053.3439554916,7.0
0.0,141269.0,353153.13,286791.0,7.0
0.0,158337.7707993246,395815.5377099239,407793.8291744841,7.0
0.0,162808.4298760218,406989.7801973559,438465.06788035145,7.0
0.0,166674.82094383647,416653.67827996524,464900.8678677056,7.0
0.0,167486.65014068072,418683.1482658152,466260.5348117614,7.0
0.0,167482.37137477196,418672.4756814334,466074.3662628268,7.0
0.0,172224.49613086696,430525.1482995828,499630.242618454,7.0
0.0,170517.41900081976,426258.56156080915,485696.69446126895,7.0
0.0,169360.75140323618,423368.05136399623,471533.95173306,7.0
0.0,170295.67152828348,425704.7614863437,478810.65993097343,7.0
0.0,172112.20424301393,430245.4052620681,487502.38665888354,7.0
0.0,172769.6585411769,431888.6340006033,492665.64687919145,7.0
0.0,176243.6758391554,440571.9750673939,514375.01680059975,7.0
0.0,175926.48549147818,439779.3667914553,509663.98158968886,7.0
0.0,176809.12414472149,441985.6473042763,513669.3259388681,7.0
0.0,177738.95224880832,444310.0208068001,516172.6548425902,7.0
0.0,184619.62366832045,461509.54539105046,543379.1062099356,7.0
0.0,181534.51105039328,453797.86871227535,529532.6268675057,7.0
0.0,181376.59421184083,453403.1613118552,528559.4621719341,7.0
0.0,180613.2987213609,451495.3183942153,523676.8787150094,7.0
0.0,179494.47830964281,448699.15190777555,512801.76548421424,7.0
0.0,180711.0361874487,451739.87689488725,521269.3855231246,7.0
0.0,180489.8902604925,451187.17333475896,519375.6975693378,7.0
0.0,181245.02146468766,453074.7305682795,522941.35408804176,7.0
0.0,186448.6758030996,466081.40310425777,554573.5365161482,7.0
0.0,183822.43597305877,459517.29858353833,535692.1327673239,7.0
0.0,181280.73551454968,453164.7876123546,514117.8752812942,7.0
0.0,181076.76408987847,452654.9912676606,512427.1650940834,7.0
0.0,181402.54652741906,453469.4542882637,512444.06170625956,7.0
0.0,179571.58367837232,448893.29646149056,497006.4367895975,7.0
0.0,178128.45739810745,445286.5093537458,484255.13007973845,7.0
0.0,176328.47502357577,440787.9280965525,467330.6570298899,7.0
0.0,164700.0,411724.99,365496.0,7.0
0.0,170307.433801715,425739.8001794327,412168.7434624315,7.0
0.0,171672.21575852233,429151.2054912664,419065.3997478177,7.0
0.0,173307.7039020495,433238.813045132,432834.20062125626,7.0
0.0,174810.84781166227,436995.98234284803,441534.4817748076,7.0
0.0,174727.80516367682,436788.53400578664,439572.0202430459,7.0
0.0,176736.64405276155,441809.6188852521,452210.5311276001,7.0
0.0,177231.08804152717,443045.67668433057,452930.8172616173,7.0
0.0,181064.46197004855,452627.8896215274,468332.8463032889,7.0
0.0,180168.0983316029,450387.1973669427,465643.1817367313,7.0
0.0,182341.60617963996,455820.0844112691,476932.9263483086,7.0
0.0,183069.85036086038,457640.32532222837,481579.28693733836,7.0
0.0,186078.72747834033,465161.12511534436,499080.4032455651,7.0
0.0,187940.24995404007,469814.2529476881,507905.2964655654,7.0
0.0,188315.4634131757,470752.17962776555,509289.089176763,7.0
0.0,190496.27092497257,476203.3302369436,520446.9352780893,7.0
0.0,202198.47889098153,505454.0745128933,581663.2306590761,7.0
0.0,198300.77294692735,495711.4994355373,559951.9410244897,7.0
0.0,197542.64835204429,493816.5515302383,555254.8340368909,7.0
0.0,197898.302020148,494705.6664171443,555448.265301127,7.0
0.0,202016.7061448008,505000.54619244597,569745.3065114816,7.0
0.0,201296.91771837586,503201.1711447959,568509.3058308538,7.0
0.0,200870.42796739607,502135.18729170435,565392.2196670065,7.0
0.0,202237.8367094506,505553.1487159284,572477.1121322856,7.0
0.0,206431.7785315109,516036.20048691833,595153.8572744392,7.0
0.0,207114.76343087968,517743.74581914576,594169.0887302371,7.0
0.0,210234.18871166164,525541.579199872,603397.5332936202,7.0
0.0,210347.7471366657,525825.4857402294,603295.5015644104,7.0
0.0,213401.80277061556,533459.8447308892,613225.9220177368,7.0
0.0,216820.16688310463,542004.8658416322,624429.9326131085,7.0
0.0,219293.84179665527,548188.426861953,632397.720921757,7.0
0.0,224524.3206085922,561263.2798349622,649354.163008347,7.0
0.0,251232.0,628025.6900000001,735024.0,7.0
0.0,240812.67574535313,601979.9653391611,702460.3657579037,7.0
0.0,239584.20951454283,598909.0345878804,699643.8405149607,7.0
0.0,237215.88983822372,592988.8101617873,692393.317378501,7.0
0.0,238983.79538572422,597407.8659157142,701556.7196809665,7.0
0.0,239212.57896308147,597979.809322096,701807.0493592437,7.0
0.0,237248.56089288087,593070.1950015733,696435.4583798639,7.0
0.0,238667.3447051412,596616.7233091285,702031.4183523421,7.0
0.0,241015.56556870628,602486.5403135249,711845.0471949227,7.0
0.0,240209.75016447352,600472.1792325927,709427.5654266488,7.0
0.0,241652.55028842867,604078.5520861653,717445.9693959825,7.0
0.0,240853.3592270504,602080.7870059528,714747.5660844194,7.0
0.0,238587.27357534115,596416.067586576,708574.9710031236,7.0
0.0,241214.09435186308,602982.1765201186,720618.7421315688,7.0
0.0,241801.0648674455,604449.3665894053,723665.3842458951,7.0
0.0,243159.3957672194,607844.6495309327,730638.4234177715,7.0
0.0,250823.68420047927,627002.0032160392,773838.845219855,7.0
0.0,248448.79320330475,621065.8624405068,759977.0753376499,7.0
0.0,248663.76876611687,621603.213857154,761169.0054044012,7.0
0.0,248200.79744129,620446.0228020526,758155.7669155431,7.0
0.0,251150.13664634686,627818.320104406,771893.9901717996,7.0
0.0,250320.7562673146,625745.0928106819,768994.6102812468,7.0
0.0,250126.71048018226,625260.0706731903,767895.403828494,7.0
0.0,250899.21030741942,627190.9745514933,772413.1233525487,7.0
0.0,251392.82647489116,628424.4051121905,780511.6662887126,7.0
0.0,252475.00646424555,631129.6734151823,782842.7163877354,7.0
0.0,256229.181179428,640513.9066820199,798609.5249598286,7.0
0.0,256063.2335935112,640099.1122615759,797630.3884772088,7.0
0.0,257061.81579046638,642595.2348003251,802049.5062196284,7.0
0.0,260710.35850713565,651715.3957873354,817700.0198036397,7.0
0.0,261875.26282914507,654627.2464873784,823019.7038794437,7.0
0.0,265776.9647603319,664380.2309634176,839680.3105708216,7.0
0.0,283429.0,708504.61,914559.0,7.0
0.0,276002.64250644436,689941.0613164793,883760.5041308725,7.0
0.0,276121.06210337894,690236.9562547053,885685.6681283289,7.0
0.0,274680.15992302063,686635.1173980277,880182.6946649144,7.0
0.0,277029.378059863,692507.1667839581,893053.8776187054,7.0
0.0,276728.6690467714,691755.4881404375,891823.9852419492,7.0
0.0,275984.131976575,689894.2347692059,890536.8195923374,7.0
0.0,276779.1569125209,691881.4815020789,894632.6011276537,7.0
0.0,279479.4785208493,698630.9859580285,911341.7840762367,7.0
0.0,278565.22117403185,696345.7284905874,906357.313169499,7.0
0.0,278878.52796788205,697128.8126290338,908710.5646726582,7.0
0.0,278815.1255397917,696970.279791108,909024.8085830195,7.0
0.0,278319.25783509156,695730.5547287621,909587.173138479,7.0
0.0,279202.0128866453,697937.1245931016,913749.379640637,7.0
0.0,280541.5793665643,701285.4038661248,921959.6789643483,7.0
0.0,281010.33867734554,702457.0713865107,924947.7639837733,7.0
0.0,283811.7402536951,709459.0559985378,944525.069120847,7.0
0.0,284027.8275943293,709999.2648761824,944642.2288637597,7.0
0.0,284253.1783637583,710562.566256913,945605.0488195538,7.0
0.0,285353.36275517865,713312.531061565,951999.3562091845,7.0
0.0,291435.3588691636,728514.696157372,988413.3738460514,7.0
0.0,290027.637117109,724996.0163947721,980314.4632816182,7.0
0.0,289571.36181890185,723855.5631390788,977284.3823855794,7.0
0.0,290473.0038071617,726109.214153623,983093.407817228,7.0
0.0,292907.5624982743,732194.3616763307,999006.4032897416,7.0
0.0,293318.010260704,733220.3458286508,1000825.6346471297,7.0
0.0,299454.20397981955,748557.9703392205,1037689.0637143755,7.0
0.0,298139.5592018289,745271.9988044301,1029440.2509812411,7.0
